id,name,des,effect,p1,p2,p3,p4
1,生命献祭-金币,以【p1】点生命为代价，获得【p2】金币,gold_add_and_hp_minus,100,50,,
2,生命献祭-力量,消耗【p1】点生命，换取【p2】点力量的提升,str_add_and_hp_minus,50,20,,
3,生命献祭-全属性,献祭【p1】点生命，获得【p2】点所有属性提升,all_attr_add_and_hp_minus,30,50,,
4,宝箱-金币,打开宝箱获得了【p1】金币！,gold_add,200,,,
5,宝箱-陷阱,宝箱中飞出暗器，受到【p1】点生命伤害,hp_minus,80,,,
6,宝箱-神器,在宝箱底部发现了一件神器，获得道具【p1】,item_add,1001,,,
7,商人的礼物,商人以极低的价格卖给你一件道具，消耗【p1】金币获得道具【p2】,item_buy,100,1002,,
8,商人的诡计,商人突然抢走了你【p1】金币后逃跑！,gold_minus,50,,,
9,神庙-诅咒,神庙诅咒生效，生命、力量、敏捷各减少【p1】点,all_minus,30,,,
10,神庙-祝福,神庙祝福降临，生命、力量、敏捷各增加【p1】点,all_add,50,,,
11,神庙-试炼,通过神庙试炼，获得【p1】金币，所有属性提升【p2】点,gold_and_attr_add,100,25,,
12,泉眼-智力,饮下泉水，智力提升【p1】点,int_add,40,,,
13,泉眼-全属性,将泉水一饮而尽，所有属性提升【p1】点,all_attr_add,25,,,
