id,name,des,effect,p1,p2,p3,p4
1,宝箱-金币,宝箱中满是金币，获得了【p1】金币！,gold_add,300,,,
2,宝箱-金币全属性,宝箱中除了金币还有属性提升，获得【p1】金币，全属性提升【p2】点,gold_and_attr_add,150,15,,
3,宝箱-生命与金币,宝箱中找到了回复药水和金币，生命恢复【p1】点，获得【p2】金币,hp_add_and_gold_add,50,200,,
4,宝藏-金币,宝藏中发现大量金币，获得了【p1】金币！,gold_add,500,,,
5,宝藏-全属性,宝藏中找到了远古骰子，全属性提升【p1】点,all_attr_add,30,,,
6,天使-生命恢复,天使的光芒治愈了你，生命恢复【p1】点,hp_add,80,,,
7,天使-全属性,天使的祝福让你的骰子得到升华，全属性提升【p1】点,all_attr_add,25,,,
8,宝库-金币,宝库中金币堆积如山，获得了【p1】金币！,gold_add,400,,,
9,宝库-金币全属性,宝库中金币与宝物兼得，获得【p1】金币，全属性提升【p2】点,gold_and_attr_add,200,20,,
10,宝库-生命全属性,宝库中找到了生命之泉和远古骰子，生命恢复【p1】点，全属性提升【p2】点,hp_add_and_attr_add,60,15,,
