id,x,y,linex,liney,tipx,tipy,zh,zh_TW,en,ru,城市图标,center,开放城市,背景音乐,背景图,市政厅,广场,交易所,港口,旅店,同业工会,神殿,府邸,酒馆,造船厂,船坞,仓库,大学,加工厂,指挥所,宴会厅,水手行会,灯塔
1,-290,227,-315,224,-108,9,里斯本,里斯本,Lisbon,Лиссабон,4,1,1,16,16,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
2,-284,343,-306,342,-97,21,维亚纳堡,維亞納堡,Viana do Castelo,Виана-ду-Каштелу,4,0,1,16,16,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
3,-279,296,-299,301,-98,-20,波尔图,波爾圖,Porto,Порту,4,0,1,16,16,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
4,-281,168,-290,154,-99,-3,萨格里什,薩格裏什,Sagres,Сагреш,4,0,1,16,16,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
5,-228,177,-230,166,92,40,法鲁,法魯,Faro,Фару,4,0,1,16,16,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
6,-491,2,-490,14,-95,25,马德拉,馬德拉,Madeira,Мадейра,4,0,1,16,16,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
8,-123,175,-123,164,96,-16,马拉加,馬拉加,Malaga,Малага,4,0,1,17,17,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
9,-7,281,3,273,95,-24,巴伦西亚,巴倫西亞,Valencia,Валенсия,4,0,1,17,17,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
10,51,338,68,330,-105,-13,巴塞罗那,巴賽隆納,Barcelona,Барселона,4,1,1,17,17,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
11,-284,397,-301,413,-111,19,拉科鲁尼亚,拉科魯尼亞,A Coruna,Ла-Корунья,4,0,1,17,17,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
12,92,687,92,703,86,-37,安特卫普,安特衛普,Antwerp,Антверпен,4,0,1,17,17,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
13,56,687,47,700,85,-36,敦刻尔克,敦刻爾克,Dunkirk,Дюнкерк,4,0,1,18,18,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
14,-53,637,-53,651,-98,-4,瑟堡,瑟堡,Cherbourg,Шербур,4,0,1,18,18,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
15,-144,603,-149,615,-93,-27,布雷斯特,佈雷斯特,Brest,Брест,4,0,1,18,18,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
16,-89,563,-90,550,-85,-38,南特,南特,Nantes,Нант,4,0,1,18,18,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
17,-35,540,-57,532,91,-27,拉罗切利,拉羅切利,La Rochelle,Ла-Рошель,4,0,1,18,18,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
18,-36,451,-63,455,104,16,波尔多,波爾多,Bordeaux,Бордо,4,1,1,18,18,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
19,187,420,183,401,91,-31,戛纳,戛納,Cannes,Канны,4,0,1,18,18,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
20,126,416,125,402,-91,-20,马赛,馬賽,Marseille,Марсель,4,0,1,18,18,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
21,243,455,242,444,112,1,热那亚,熱那亞,Genoa,Генуя,4,1,1,19,19,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
23,417,292,399,285,-95,-25,那不勒斯,那不勒斯,Naples,Неаполь,4,0,1,19,19,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
24,238,237,255,231,-92,-31,卡利亚里,卡利亞裏,Cagliari,Кальяри,4,0,1,19,19,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
25,373,174,351,162,97,25,巴勒莫,巴勒莫,Palermo,Палермо,4,0,1,19,19,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
26,382,402,391,419,98,-22,安科纳,安科納,Ancona,Анкона,4,0,1,19,19,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
27,334,481,345,468,97,18,威尼斯,威尼斯,Venice,Венеция,4,0,1,19,19,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
28,699,206,716,212,105,-26,雅典,雅典,Athens,Афины,4,1,1,20,20,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
29,698,283,707,274,111,-24,塞萨洛尼基,塞薩洛尼基,Thessaloniki,Салоники,4,0,1,20,20,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
30,722,94,718,81,-109,-28,伊拉克利翁,伊拉克利翁,Heraklion,Ираклион,4,0,1,20,20,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
31,959,83,959,69,-102,22,塞浦路斯,賽普勒斯,Cyprus,Кипр,4,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
32,884,1097,871,1111,111,-31,圣彼得堡,聖彼得堡,Ingria,Санкт-Петербург,4,0,1,28,28,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
33,910,518,906,493,96,15,摩尔多瓦,莫爾達瓦,Moldova,Молдова,4,0,1,14,14,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
34,1130,567,1112,543,97,23,罗斯托夫,羅斯托夫,Rostov,Ростов,4,0,1,14,14,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
35,1154,403,1123,392,105,25,索契,索契,Sochi,Сочи,4,1,1,14,14,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
36,839,323,850,319,123,16,伊斯坦布尔,伊斯坦布爾,Istanbul,Стамбул,6,1,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
37,834,375,855,376,-98,23,瓦尔纳,瓦爾納,Varna,Варна,6,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
38,1063,84,1036,86,96,21,安条克,安條克,Antioch,Антиохия,6,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
39,1044,43,1026,51,100,16,贝鲁特,貝魯特,Beirut,Бейрут,6,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
40,72,131,67,146,97,-26,阿尔及尔,阿爾及爾,Algiers,Алжир,6,0,1,32,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
41,425,-5,425,13,-95,-26,的黎波里,的黎波里,Tripoli,Триполи,6,0,1,32,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
42,784,-34,784,-10,-97,-29,亚力山卓,亞力山卓,Alexandria,Александрия,6,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
43,922,-28,922,-10,98,-15,塞得港,塞得港,Port Said,Порт-Саид,6,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
44,947,-78,968,-115,95,-23,苏伊士港,蘇伊士港,Suez Port,Суэцкий порт,6,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
45,875,-34,872,-17,-90,45,开罗,開羅,Cairo,Каир,6,1,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
46,-287,-42,-317,-24,96,17,拉巴特,拉巴特,Rabat,Рабат,6,0,1,32,32,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
47,-167,106,-155,114,-105,-17,休达,休達,Ceuta,Сеута,6,1,1,32,32,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
48,-86,90,-86,105,-73,-39,梅利利亚,梅利利亞,Melilla,Мелилья,6,0,1,32,32,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
49,-326,-100,-358,-85,-112,23,卡萨布兰卡,卡薩布蘭卡,Casablanca,Касабланка,6,1,1,32,32,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
50,0,719,46,742,-105,9,伦敦,倫敦,London,Лондон,4,1,1,22,22,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
51,-79,915,-63,918,104,22,爱丁堡,愛丁堡,Edinburgh,Эдинбург,4,1,1,30,30,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
52,-47,867,-30,871,97,18,桑德兰,桑德蘭,Sunderland,Сандерленд,4,0,1,22,22,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
53,-7,801,14,816,109,29,格里姆斯比,格裏姆斯比,Grimsby,Гримсби,4,0,1,22,22,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
55,-127,676,-128,660,-96,11,普利茅斯,普利茅斯,Plymouth,Плимут,4,0,1,22,22,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
57,-140,775,-158,786,-87,-17,利物浦,利物浦,Liverpool,Ливерпуль,4,0,1,22,22,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
58,-149,1058,-154,1072,83,40,德内斯,德內斯,Durness,Дёрнесс,4,0,1,30,30,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
